id,date,target
AS14.13,2014-04-18,3.5
AS14.13,2014-04-19,7.2
AS14.13,2014-04-20,6.6
AS14.13,2014-04-21,7.4
AS14.13,2014-04-22,5.75
AS14.13,2014-04-23,7.4
AS14.13,2014-04-24,7.666666666666667
AS14.13,2014-04-25,7.75
AS14.13,2014-04-26,8.8
AS14.13,2014-04-27,8.0
AS14.13,2014-04-28,8.166666666666666
AS14.13,2014-04-29,8.5
AS14.13,2014-04-30,7.833333333333333
AS14.13,2014-05-01,8.333333333333334
AS14.13,2014-05-02,8.0
AS14.13,2014-05-03,7.25
AS14.13,2014-05-04,8.0
AS14.14,2014-03-26,7.0
AS14.14,2014-03-27,6.6
AS14.14,2014-03-28,6.2
AS14.14,2014-03-29,8.0
AS14.14,2014-03-30,6.5
AS14.14,2014-03-31,6.75
AS14.14,2014-04-01,6.2
AS14.14,2014-04-02,7.0
AS14.14,2014-04-03,7.333333333333333
AS14.14,2014-04-04,7.5
AS14.14,2014-04-05,7.4
AS14.14,2014-04-06,7.4
AS14.14,2014-04-07,7.0
AS14.14,2014-04-08,6.8
AS14.14,2014-04-09,8.0
AS14.14,2014-04-10,6.666666666666667
AS14.14,2014-04-11,7.75
AS14.14,2014-04-12,7.5
AS14.14,2014-04-13,7.5
AS14.14,2014-04-14,7.5
AS14.14,2014-04-15,6.0
AS14.14,2014-04-16,6.0
AS14.14,2014-04-17,6.2
AS14.14,2014-04-18,6.5
AS14.14,2014-04-19,6.75
AS14.14,2014-04-20,7.5
AS14.14,2014-04-21,7.0
AS14.14,2014-04-22,7.0
AS14.14,2014-04-23,7.0
AS14.14,2014-04-24,7.333333333333333
AS14.14,2014-04-25,8.0
AS14.14,2014-04-26,8.0
AS14.14,2014-04-27,7.666666666666667
AS14.14,2014-04-28,7.444444444444445
AS14.14,2014-04-29,7.222222222222222
AS14.14,2014-04-30,7.0
AS14.14,2014-05-01,6.0
AS14.14,2014-05-02,6.666666666666667
AS14.14,2014-05-03,6.8
AS14.14,2014-05-04,6.8
AS14.14,2014-05-05,7.0
AS14.15,2014-03-22,7.0
AS14.15,2014-03-23,7.0
AS14.15,2014-03-24,7.0
AS14.15,2014-03-25,7.0
AS14.15,2014-03-26,7.2
AS14.15,2014-03-27,7.0
AS14.15,2014-03-28,7.2
AS14.15,2014-03-29,7.0
AS14.15,2014-03-30,7.4
AS14.15,2014-03-31,7.2
AS14.15,2014-04-01,7.2
AS14.15,2014-04-02,7.2
AS14.15,2014-04-03,7.2
AS14.15,2014-04-04,7.2
AS14.15,2014-04-05,7.8
AS14.15,2014-04-06,6.2
AS14.15,2014-04-07,6.8
AS14.15,2014-04-08,6.8
AS14.15,2014-04-09,7.0
AS14.15,2014-04-10,7.2
AS14.15,2014-04-11,7.0
AS14.15,2014-04-12,7.4
AS14.15,2014-04-13,7.0
